Date,Headline,Source,Market_Event,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Sector,Impact_Level,Related_Company,News_Url,Headline_clean,strong_positive_count,strong_negative_count,weak_positive_count,weak_negative_count,total_positive_score,total_negative_score,sentiment_score,sentiment_ratio,has_strong_positive,has_strong_negative,has_percent,has_dollar,has_number,has_action,predicted_from_headline,headline_sentiment_match,Index_Change_Percent_num,index_sentiment_match,Trading_Volume_num,log_volume,headline_length,word_count,avg_word_length,is_positive_change,is_negative_change,abs_change,change_magnitude
2025-05-02,crude oil prices drop to a multi-year low,Financial Times,Supply Chain Disruption,TSX,4.13,357.84,positive,Agriculture,Low,Goldman Sachs,https://www.ft.com/content/consumer-confidence-report,crude oil prices drop to a multi-year low,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,False,4.13,True,357.84,5.882876606691083,41,8,4.25,1,0,4.13,2.0
2025-05-20,consumer discretionary stocks outperform as spending increases,Economic Times,Commodity Price Shock,Russell 2000,2.46,258.4,positive,Retail,Medium,Apple Inc.,https://www.marketwatch.com/story/commodities-price-shock,consumer discretionary stocks outperform as spending increases,1,0,0,0,2,0,2,2.0,1,0,0,0,0,0,positive,True,2.46,True,258.4,5.5583712718823435,62,7,8.0,1,0,2.46,1.0
2025-08-13,healthcare stocks gain on robust demand and strong outlook,Mint,Central Bank Meeting,S&P 500,-1.94,242.87,negative,Healthcare,Low,JP Morgan Chase,https://www.business-standard.com/finance/corporate-earnings,healthcare stocks gain on robust demand and strong outlook,2,0,1,0,5,0,5,5.0,1,0,0,0,0,0,positive,False,-1.94,True,242.87,5.49663529642659,58,9,5.555555555555555,0,1,1.94,1.0
2025-05-28,uk s ftse 100 sees a boost from favorable trade data,Mint,Interest Rate Change,S&P 500,2.3,459.91,positive,Transportation,Medium,Microsoft,https://www.ft.com/content/media-entertainment-merger,uk s ftse 100 sees a boost from favorable trade data,0,0,2,0,2,0,2,2.0,0,0,0,0,1,0,positive,True,2.3,True,459.91,6.133202796171501,52,11,3.8181818181818183,1,0,2.3,1.0
2025-02-27,new regulations on cryptocurrencies cause a market dip,Yahoo Finance,Trade Tariffs Announcement,ASX 200,2.79,278.46,positive,Telecommunications,Low,Microsoft,https://www.reuters.com/business/energy/oil-market-update,new regulations on cryptocurrencies cause a market dip,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,False,2.79,True,278.46,5.632859169652302,54,8,5.875,1,0,2.79,1.0
2025-06-20,crude oil prices drop to a multi-year low,The Economist,Bond Market Fluctuation,ASX 200,2.19,155.3,negative,Utilities,Medium,Reliance Industries,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,crude oil prices drop to a multi-year low,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,True,2.19,False,155.3,5.051777237427431,41,8,4.25,1,0,2.19,1.0
2025-03-06,pharmaceutical company s drug approval drives stock upward,The Motley Fool,Geopolitical Event,DAX,-0.21,275.97,negative,Materials,Medium,JP Morgan Chase,https://www.bloomberg.com/asia/telecommunications-news,pharmaceutical company s drug approval drives stock upward,0,0,2,0,2,0,2,2.0,0,0,0,0,0,0,positive,False,-0.21,True,275.97,5.62390919707302,58,8,6.375,0,1,0.21,0.0
2025-05-15,banking stocks dip after a major scandal is revealed,Seeking Alpha,Bond Market Fluctuation,FTSE 100,3.22,385.06,negative,Construction,Medium,Apple Inc.,https://www.forbes.com/crypto/cryptocurrency-regulation,banking stocks dip after a major scandal is revealed,0,1,0,1,0,3,-3,0.0,0,1,0,0,0,0,negative,True,3.22,False,385.06,5.95599279779973,52,9,4.888888888888889,1,0,3.22,2.0
2025-04-30,consumer confidence index reaches a decade high,Mint,Regulatory Changes,KOSPI,-3.43,387.72,positive,Technology,Low,JP Morgan Chase,https://www.business-standard.com/economy/inflation-data,consumer confidence index reaches a decade high,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,True,-3.43,False,387.72,5.962859290097648,47,7,5.857142857142857,0,1,3.43,2.0
2025-06-27,semiconductor shortages weigh heavily on tech sector profits,Investopedia,Regulatory Changes,IBOVESPA,-0.12,468.78,negative,Construction,Medium,Boeing,https://www.ft.com/content/currency-devaluation,semiconductor shortages weigh heavily on tech sector profits,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-0.12,True,468.78,6.15226450001169,60,8,6.625,0,1,0.12,0.0
2025-03-05,central bank governor signals potential shift in policy,Wall Street Journal,IPO Launch,TSX,-4.11,393.04,negative,Energy,High,Apple Inc.,https://www.moneycontrol.com/us-markets/nasdaq-composite,central bank governor signals potential shift in policy,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-4.11,True,393.04,5.976452426987478,55,8,6.0,0,1,4.11,2.0
2025-05-25,financial services stocks rally on strong profit margins,CNBC,Commodity Price Shock,DAX,1.02,74.49,positive,Materials,High,JP Morgan Chase,https://www.business-standard.com/economy/inflation-data,financial services stocks rally on strong profit margins,2,0,1,0,5,0,5,5.0,1,0,0,0,0,0,positive,True,1.02,True,74.49,4.324000197151533,56,8,6.125,1,0,1.02,1.0
2025-03-01,asx 200 gains on strong export performance,Financial Times,Bond Market Fluctuation,CAC 40,2.63,90.87,positive,Telecommunications,Medium,Tata Motors,https://www.business-standard.com/international-business/trade-policy,asx 200 gains on strong export performance,1,0,0,0,2,0,2,2.0,1,0,0,0,1,0,positive,True,2.63,True,90.87,4.520374534283375,42,7,5.142857142857143,1,0,2.63,1.0
2025-05-28,major technology firm acquires a smaller rival in a multi-billion dollar deal,Reuters,Supply Chain Disruption,Nikkei 225,0.38,14.02,positive,Construction,High,Samsung Electronics,https://www.cnbc.com/2025/09/automotive-industry-trends,major technology firm acquires a smaller rival in a multi-billion dollar deal,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,neutral,False,0.38,True,14.02,2.7093826463359885,77,12,5.5,1,0,0.38,0.0
2025-06-10,government policy shift boosts renewable energy sector,Barron's,Major Merger/Acquisition,NSE Nifty,-1.91,150.1,negative,Retail,Medium,JP Morgan Chase,https://economictimes.indiatimes.com/news/economy/unemployment-rate,government policy shift boosts renewable energy sector,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-1.91,True,150.1,5.017941869278694,54,7,6.857142857142857,0,1,1.91,1.0
2025-07-04,asx 200 gains on strong export performance,Times of India,Market Rally,ASX 200,2.95,433.44,positive,Media & Entertainment,Low,Tesla,https://www.ft.com/content/tech-sector-innovation,asx 200 gains on strong export performance,1,0,0,0,2,0,2,2.0,1,0,0,0,1,0,positive,True,2.95,True,433.44,6.0740578454118355,42,7,5.142857142857143,1,0,2.95,1.0
2025-05-22,bond yields tumble as investors seek safe havens,Bloomberg,Major Merger/Acquisition,S&P/TSX Composite,-2.19,310.1,negative,Finance,Medium,Samsung Electronics,https://www.business-standard.com/economy/economic-stimulus,bond yields tumble as investors seek safe havens,0,1,0,0,0,2,-2,0.0,0,1,0,0,0,0,negative,True,-2.19,True,310.1,5.740114403903592,48,8,5.125,0,1,2.19,1.0
2025-05-05,quarterly report shows surprising losses for retail giants,Mint,Interest Rate Change,TSX,-3.46,189.55,negative,Telecommunications,Medium,JP Morgan Chase,https://www.business-standard.com/economy/inflation-data,quarterly report shows surprising losses for retail giants,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,neutral,False,-3.46,True,189.55,5.249914627319869,58,8,6.375,0,1,3.46,2.0
2025-05-17,a massive data breach sends a tech company s stock tumbling,The Motley Fool,Bond Market Fluctuation,Shanghai Composite,,47.66,negative,Agriculture,Low,Boeing,https://www.business-standard.com/economy/economic-stimulus,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,2,-2,0.0,0,1,0,0,0,0,negative,True,,False,47.66,3.8848573373553763,59,11,4.454545454545454,0,0,,
2025-07-10,consumer discretionary stocks outperform as spending increases,Bloomberg,Interest Rate Change,TSX,-4.35,440.24,positive,Agriculture,Medium,Boeing,https://www.business-standard.com/economy/inflation-data,consumer discretionary stocks outperform as spending increases,1,0,0,0,2,0,2,2.0,1,0,0,0,0,0,positive,True,-4.35,False,440.24,6.089588945101181,62,7,8.0,0,1,4.35,2.0
2025-06-22,a massive data breach sends a tech company s stock tumbling,Yahoo Finance,IPO Launch,Nasdaq Composite,1.41,141.37,positive,Materials,Medium,Boeing,https://economictimes.indiatimes.com/news/transportation,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,2,-2,0.0,0,1,0,0,0,0,negative,False,1.41,True,141.37,4.958429302625654,59,11,4.454545454545454,1,0,1.41,1.0
2025-08-08,consumer discretionary stocks outperform as spending increases,Barron's,Inflation Data Release,IBOVESPA,4.54,428.4,positive,Energy,Medium,Goldman Sachs,https://www.wsj.com/china/market-regulation,consumer discretionary stocks outperform as spending increases,1,0,0,0,2,0,2,2.0,1,0,0,0,0,0,positive,True,4.54,True,428.4,6.062388885444681,62,7,8.0,1,0,4.54,2.0
2025-04-11,china s shanghai composite falls after new trade restrictions,Barron's,Interest Rate Change,Dow Jones,2.38,302.56,positive,Retail,Low,Tata Motors,https://www.forbes.com/crypto/cryptocurrency-regulation,china s shanghai composite falls after new trade restrictions,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,2.38,True,302.56,5.715579284535712,61,9,5.888888888888889,1,0,2.38,1.0
2025-05-10,"global trade talks collapse, causing market turmoil",The Motley Fool,Major Merger/Acquisition,S&P 500,-0.22,377.64,negative,Energy,Low,Microsoft,https://www.moneycontrol.com/india/ipo-news/new-firm-launches,global trade talks collapse causing market turmoil,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-0.22,True,377.64,5.936585885597992,50,7,6.285714285714286,0,1,0.22,0.0
2025-05-28,nikkei 225 index benefits from a weaker yen,Reuters,Consumer Confidence Report,Shanghai Composite,-2.86,116.95,negative,Automotive,High,Goldman Sachs,https://www.wsj.com/europe/regulatory-changes,nikkei 225 index benefits from a weaker yen,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,neutral,False,-2.86,True,116.95,4.770260805853684,43,8,4.5,0,1,2.86,1.0
2025-02-23,market sentiment turns positive on vaccine trial results,MarketWatch,Unemployment Rate Announcement,Nasdaq Composite,-3.22,354.14,negative,Utilities,High,Apple Inc.,https://www.ft.com/content/geopolitical-summit,market sentiment turns positive on vaccine trial results,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,False,-3.22,True,354.14,5.872512077930689,56,8,6.125,0,1,3.22,2.0
2025-04-10,a massive data breach sends a tech company s stock tumbling,MarketWatch,Stock Market Crash,Euro Stoxx 50,1.47,84.21,positive,Consumer Goods,Medium,Reliance Industries,https://www.bloomberg.com/australia/asx-200-performance,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,2,-2,0.0,0,1,0,0,0,0,negative,False,1.47,True,84.21,4.445118797839864,59,11,4.454545454545454,1,0,1.47,1.0
2025-04-25,central bank s dovish tone hints at future rate cuts,Financial Times,Corporate Earnings Report,Nikkei 225,1.13,191.56,positive,Automotive,High,ExxonMobil,https://economictimes.indiatimes.com/news/transportation,central bank s dovish tone hints at future rate cuts,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,1.13,True,191.56,5.260407793474816,52,10,4.3,1,0,1.13,1.0
2025-05-04,merger talks between two banks fall through,Business Standard,Bond Market Fluctuation,ASX 200,3.11,132.12,negative,Industrials,High,Goldman Sachs,https://www.forbes.com/crypto/cryptocurrency-regulation,merger talks between two banks fall through,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,True,3.11,False,132.12,4.8912509770728985,43,7,5.285714285714286,1,0,3.11,2.0
2025-06-11,tech giant s new product launch sparks sector-wide gains,Investopedia,Central Bank Meeting,Russell 2000,2.06,480.73,positive,Retail,Low,Reliance Industries,https://www.forbes.com/finance/geopolitical-event-impact,tech giant s new product launch sparks sector-wide gains,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,2.06,True,480.73,6.177383791123922,56,9,5.333333333333333,1,0,2.06,1.0
2025-03-14,unexpected rise in unemployment fuels market pessimism,Yahoo Finance,Cryptocurrency Regulation,S&P/TSX Composite,1.78,182.32,positive,Construction,Low,Apple Inc.,https://www.reuters.com/markets/stocks/tech-rally,unexpected rise in unemployment fuels market pessimism,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,True,1.78,True,182.32,5.211233259640923,54,7,6.857142857142857,1,0,1.78,1.0
2025-05-16,real estate sector shows signs of overheating as interest rates fall,Bloomberg,Economic Data Release,Euro Stoxx 50,0.02,343.83,positive,Pharmaceuticals,Low,JP Morgan Chase,https://economictimes.indiatimes.com/news/economy/unemployment-rate,real estate sector shows signs of overheating as interest rates fall,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,False,0.02,True,343.83,5.843051541965209,68,11,5.2727272727272725,1,0,0.02,0.0
2025-03-14,china s shanghai composite falls after new trade restrictions,Business Standard,IPO Launch,Hang Seng,-1.14,482.98,negative,Aerospace & Defense,Medium,Microsoft,https://www.ft.com/content/tech-sector-innovation,china s shanghai composite falls after new trade restrictions,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-1.14,True,482.98,6.182043583548792,61,9,5.888888888888889,0,1,1.14,1.0
2025-02-23,real estate sector shows signs of overheating as interest rates fall,Investopedia,Inflation Data Release,Hang Seng,-4.8,419.9,negative,Construction,Medium,Samsung Electronics,https://www.business-standard.com/international-business/trade-policy,real estate sector shows signs of overheating as interest rates fall,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,True,-4.8,True,419.9,6.042395275776525,68,11,5.2727272727272725,0,1,4.8,2.0
2025-04-13,consumer discretionary stocks outperform as spending increases,The Economist,Corporate Earnings Report,Nasdaq Composite,-2.75,212.41,negative,Healthcare,High,ExxonMobil,https://timesofindia.indiatimes.com/business/corporate-governance,consumer discretionary stocks outperform as spending increases,1,0,0,0,2,0,2,2.0,1,0,0,0,0,0,positive,False,-2.75,True,212.41,5.3632151981258795,62,7,8.0,0,1,2.75,1.0
2025-05-19,china s shanghai composite falls after new trade restrictions,Business Standard,Government Policy Announcement,TSX,-0.67,310.13,negative,Finance,Medium,Boeing,https://www.wsj.com/japan/economic-data-release,china s shanghai composite falls after new trade restrictions,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-0.67,True,310.13,5.740210831269753,61,9,5.888888888888889,0,1,0.67,0.0
2025-05-09,consumer confidence index reaches a decade high,CNBC,Unemployment Rate Announcement,IBOVESPA,-2.51,498.49,positive,Technology,Low,Boeing,https://www.bloomberg.com/australia/asx-200-performance,consumer confidence index reaches a decade high,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,True,-2.51,False,498.49,6.213587577868185,47,7,5.857142857142857,0,1,2.51,1.0
2025-05-20,government spending bill is expected to stimulate the economy,Seeking Alpha,Cryptocurrency Regulation,Dow Jones,-2.77,141.85,negative,Automotive,High,Microsoft,https://www.cnbc.com/2025/09/automotive-industry-trends,government spending bill is expected to stimulate the economy,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-2.77,True,141.85,4.961795128676782,61,9,5.888888888888889,0,1,2.77,1.0
2025-05-21,retail sales report surpasses all forecasts,The Hindu Business Line,Bond Market Fluctuation,FTSE 100,3.83,4.04,positive,Automotive,Medium,Reliance Industries,https://www.forbes.com/crypto/cryptocurrency-regulation,retail sales report surpasses all forecasts,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,neutral,False,3.83,True,4.04,1.6174060820832772,43,6,6.333333333333333,1,0,3.83,2.0
2025-04-04,gold prices surge as investors flee riskier assets,Yahoo Finance,Cryptocurrency Regulation,S&P 500,-4.03,465.53,negative,Healthcare,Medium,Samsung Electronics,https://www.theeconomist.com/finance-and-economics/trade-tariffs,gold prices surge as investors flee riskier assets,1,0,0,0,2,0,2,2.0,1,0,0,0,0,0,positive,False,-4.03,True,465.53,6.145322326901356,50,8,5.375,0,1,4.03,2.0
2025-04-09,consumer confidence index reaches a decade high,Mint,Government Policy Announcement,ASX 200,1.2,312.51,positive,Finance,Low,Tesla,https://www.reuters.com/markets/stocks/tech-rally,consumer confidence index reaches a decade high,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,True,1.2,True,312.51,5.747831257490882,47,7,5.857142857142857,1,0,1.2,1.0
2025-03-01,geopolitical ceasefire prompts a broad market recovery,MarketWatch,Commodity Price Shock,KOSPI,-0.26,308.11,positive,Agriculture,Medium,Microsoft,https://www.moneycontrol.com/us-markets/dow-jones-industrial,geopolitical ceasefire prompts a broad market recovery,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,True,-0.26,False,308.11,5.733697200604404,54,7,6.857142857142857,0,1,0.26,0.0
2025-05-27,aerospace and defense sector sees rally amid geopolitical tensions,MarketWatch,Currency Devaluation,CAC 40,-1.54,193.71,negative,Finance,Low,Tata Motors,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,aerospace and defense sector sees rally amid geopolitical tensions,1,0,0,0,2,0,2,2.0,1,0,0,0,0,0,positive,False,-1.54,True,193.71,5.27151127212753,66,9,6.444444444444445,0,1,1.54,1.0
2025-04-04,geopolitical ceasefire prompts a broad market recovery,Business Standard,Cryptocurrency Regulation,FTSE 100,0.92,94.44,positive,Materials,High,Apple Inc.,https://www.ft.com/content/consumer-confidence-report,geopolitical ceasefire prompts a broad market recovery,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,True,0.92,True,94.44,4.55849777778966,54,7,6.857142857142857,1,0,0.92,0.0
2025-04-29,energy company s dividend hike excites shareholders,Investopedia,Stock Market Crash,Euro Stoxx 50,-2.38,159.1,negative,Consumer Goods,High,Tata Motors,https://www.business-standard.com/international-business/trade-policy,energy company s dividend hike excites shareholders,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-2.38,True,159.1,5.075798620002669,51,7,6.428571428571429,0,1,2.38,1.0
2025-04-01,real estate sector shows signs of overheating as interest rates fall,The Economist,Market Rally,Hang Seng,3.52,361.01,negative,Consumer Goods,Low,Samsung Electronics,https://www.investopedia.com/articles/supply-chain-disruption,real estate sector shows signs of overheating as interest rates fall,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,True,3.52,False,361.01,5.891671835753619,68,11,5.2727272727272725,1,0,3.52,2.0
2025-07-06,federal reserve chairman s speech causes market volatility,Wall Street Journal,Economic Data Release,Dow Jones,-2.3,402.53,negative,Healthcare,Low,Boeing,https://www.investopedia.com/articles/supply-chain-disruption,federal reserve chairman s speech causes market volatility,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-2.3,True,402.53,6.000250834388599,58,8,6.375,0,1,2.3,1.0
2025-03-10,pharmaceutical company s drug approval drives stock upward,The Motley Fool,IPO Launch,S&P 500,-3.79,109.65,negative,Real Estate,Medium,ExxonMobil,https://www.theeconomist.com/world/government-policy-announcement,pharmaceutical company s drug approval drives stock upward,0,0,2,0,2,0,2,2.0,0,0,0,0,0,0,positive,False,-3.79,True,109.65,4.7063720664970585,58,8,6.375,0,1,3.79,2.0
2025-06-16,china s shanghai composite falls after new trade restrictions,Wall Street Journal,Bond Market Fluctuation,Hang Seng,-2.32,313.22,negative,Agriculture,High,ExxonMobil,https://www.wsj.com/europe/regulatory-changes,china s shanghai composite falls after new trade restrictions,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-2.32,True,313.22,5.750093377519452,61,9,5.888888888888889,0,1,2.32,1.0
2025-05-20,geopolitical ceasefire prompts a broad market recovery,Seeking Alpha,Market Rally,Nikkei 225,2.08,440.36,positive,Aerospace & Defense,Medium,Tata Motors,https://www.business-standard.com/economy/inflation-data,geopolitical ceasefire prompts a broad market recovery,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,True,2.08,True,440.36,6.089860868964175,54,7,6.857142857142857,1,0,2.08,1.0
2025-02-13,tech giant s new product launch sparks sector-wide gains,Barron's,Central Bank Meeting,TSX,-4.37,108.31,negative,Retail,High,Tata Motors,https://www.cnbc.com/2025/10/real-estate-market-analysis,tech giant s new product launch sparks sector-wide gains,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-4.37,True,108.31,4.694187882305744,56,9,5.333333333333333,0,1,4.37,2.0
2025-06-04,new regulations on cryptocurrencies cause a market dip,Forbes,IPO Launch,Dow Jones,-2.18,272.25,negative,Materials,Low,Goldman Sachs,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,new regulations on cryptocurrencies cause a market dip,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,True,-2.18,True,272.25,5.610387127056648,54,8,5.875,0,1,2.18,1.0
2025-06-30,new regulations on cryptocurrencies cause a market dip,Times of India,Currency Devaluation,Shanghai Composite,4.3,215.59,negative,Agriculture,Low,JP Morgan Chase,https://www.moneycontrol.com/india/ipo-news/new-firm-launches,new regulations on cryptocurrencies cause a market dip,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,True,4.3,False,215.59,5.3780061654494045,54,8,5.875,1,0,4.3,2.0
2025-06-30,china s shanghai composite falls after new trade restrictions,Reuters,Government Policy Announcement,DAX,-2.13,294.9,negative,Retail,Low,JP Morgan Chase,https://economictimes.indiatimes.com/industry/industrials,china s shanghai composite falls after new trade restrictions,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-2.13,True,294.9,5.690021559406164,61,9,5.888888888888889,0,1,2.13,1.0
2025-02-26,automotive industry faces headwinds from rising material costs,Wall Street Journal,Economic Data Release,Nasdaq Composite,-4.1,32.73,negative,Real Estate,High,ExxonMobil,https://www.ft.com/content/geopolitical-summit,automotive industry faces headwinds from rising material costs,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-4.1,True,32.73,3.5183876490735586,62,8,6.875,0,1,4.1,2.0
2025-06-18,new regulations on cryptocurrencies cause a market dip,Wall Street Journal,Consumer Confidence Report,DAX,0.4,294.48,negative,Aerospace & Defense,High,Apple Inc.,https://www.wsj.com/china/market-rally,new regulations on cryptocurrencies cause a market dip,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,True,0.4,False,294.48,5.688601152660537,54,8,5.875,1,0,0.4,0.0
2025-07-01,semiconductor shortages weigh heavily on tech sector profits,Business Standard,Major Merger/Acquisition,S&P 500,0.28,210.73,positive,Real Estate,High,ExxonMobil,https://www.cnbc.com/2025/09/automotive-industry-trends,semiconductor shortages weigh heavily on tech sector profits,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,0.28,True,210.73,5.355311878067845,60,8,6.625,1,0,0.28,0.0
2025-07-22,real estate sector shows signs of overheating as interest rates fall,Barron's,Consumer Confidence Report,S&P 500,-0.92,315.27,negative,Healthcare,Medium,Samsung Electronics,https://www.ft.com/content/consumer-confidence-report,real estate sector shows signs of overheating as interest rates fall,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,True,-0.92,True,315.27,5.756596279148815,68,11,5.2727272727272725,0,1,0.92,0.0
