Date,Headline,Source,Market_Event,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Sector,Impact_Level,Related_Company,News_Url,Headline_clean,ultra_pos,ultra_neg,pos,neg,total_pos,total_neg,score,ratio,has_ultra_pos,has_ultra_neg,has_percent,has_number,Index_Change_Percent_num,headline_match,index_match,has_strong_keyword,quality_score,Trading_Volume_num,log_volume,headline_length,word_count,is_pos_change,is_neg_change,abs_change
2025-03-01,consumer discretionary stocks outperform as spending increases,Seeking Alpha,Economic Data Release,CAC 40,2.43,158.15,positive,Telecommunications,Medium,ExxonMobil,https://www.theeconomist.com/world/government-policy-announcement,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,2.43,True,True,True,3,158.15,5.069847153728102,62,7,1,0,2.43
2025-07-09,aerospace and defense sector sees rally amid geopolitical tensions,The Motley Fool,Commodity Price Shock,Euro Stoxx 50,-0.44,379.18,positive,Automotive,Medium,Tata Motors,https://www.cnbc.com/2025/11/major-merger-deal-approved,aerospace and defense sector sees rally amid geopolitical tensions,1,0,0,0,3,0,3,3.0,1,0,0,0,-0.44,True,False,True,2,379.18,5.9406448247780075,66,9,0,1,0.44
2025-04-29,asx 200 gains on strong export performance,Reuters,Geopolitical Event,Nikkei 225,-0.05,7.02,positive,Consumer Goods,Low,Reliance Industries,https://www.bloomberg.com/canada/tsunami-warnings,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,-0.05,True,False,True,2,7.02,2.081938421878423,42,7,0,1,0.05
2025-03-24,financial services stocks rally on strong profit margins,Reuters,Market Rally,Russell 2000,-0.8,359.16,positive,Telecommunications,Low,ExxonMobil,https://www.marketwatch.com/story/commodities-price-shock,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,-0.8,True,False,True,2,359.16,5.886548377158422,56,8,0,1,0.8
2025-04-11,asx 200 gains on strong export performance,Wall Street Journal,Inflation Data Release,S&P/TSX Composite,,49.83,positive,Telecommunications,Low,Reliance Industries,https://www.moneycontrol.com/us-markets/dow-jones-industrial,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,,True,True,True,3,49.83,3.928486731458811,42,7,0,0,
2025-05-16,healthcare stocks gain on robust demand and strong outlook,Forbes,Bond Market Fluctuation,S&P/TSX Composite,-2.16,416.62,positive,Industrials,Medium,Apple Inc.,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,healthcare stocks gain on robust demand and strong outlook,2,0,1,0,7,0,7,7.0,1,0,0,0,-2.16,True,False,True,2,416.62,6.034571928141916,58,9,0,1,2.16
2025-07-08,gold prices surge as investors flee riskier assets,The Economist,Cryptocurrency Regulation,ASX 200,-2.77,206.42,positive,Aerospace & Defense,Medium,Tata Motors,https://economictimes.indiatimes.com/news/transportation,gold prices surge as investors flee riskier assets,1,0,0,0,3,0,3,3.0,1,0,0,0,-2.77,True,False,True,2,206.42,5.334745723161588,50,8,0,1,2.77
2025-06-26,asx 200 gains on strong export performance,The Hindu Business Line,Government Policy Announcement,Euro Stoxx 50,-4.13,457.84,positive,Utilities,Medium,Microsoft,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,-4.13,True,False,True,2,457.84,6.128701565413067,42,7,0,1,4.13
2025-02-13,pharmaceutical company s drug approval drives stock upward,Business Standard,Currency Devaluation,Nasdaq Composite,4.96,2.5,positive,Transportation,Medium,Boeing,https://www.ft.com/content/currency-devaluation,pharmaceutical company s drug approval drives stock upward,0,0,2,0,2,0,2,2.0,0,0,0,0,4.96,True,True,False,2,2.5,1.252762968495368,58,8,1,0,4.96
2025-06-24,consumer discretionary stocks outperform as spending increases,Forbes,Market Rally,NSE Nifty,-1.77,483.49,positive,Agriculture,Low,Samsung Electronics,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,-1.77,True,False,True,2,483.49,6.183096791282935,62,7,0,1,1.77
2025-05-02,financial services stocks rally on strong profit margins,Business Standard,Commodity Price Shock,CAC 40,4.94,405.23,positive,Agriculture,High,Samsung Electronics,https://www.investopedia.com/articles/supply-chain-disruption,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,4.94,True,True,True,3,405.23,6.006919501662843,56,8,1,0,4.94
2025-05-09,pharmaceutical company s drug approval drives stock upward,The Economist,Consumer Confidence Report,Hang Seng,3.17,109.09,positive,Transportation,High,Microsoft,https://www.reuters.com/markets/stocks/tech-rally,pharmaceutical company s drug approval drives stock upward,0,0,2,0,2,0,2,2.0,0,0,0,0,3.17,True,True,False,2,109.09,4.701298213082312,58,8,1,0,3.17
2025-04-10,a massive data breach sends a tech company s stock tumbling,MarketWatch,Stock Market Crash,Euro Stoxx 50,1.47,84.21,positive,Consumer Goods,Medium,Reliance Industries,https://www.bloomberg.com/australia/asx-200-performance,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,3,-3,0.0,0,1,0,0,1.47,False,True,True,2,84.21,4.445118797839864,59,11,1,0,1.47
2025-02-27,consumer discretionary stocks outperform as spending increases,Seeking Alpha,Interest Rate Change,Shanghai Composite,-4.56,86.15,positive,Utilities,High,Boeing,https://www.reuters.com/business/retail-sector-earnings,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,-4.56,True,False,True,2,86.15,4.46763077196603,62,7,0,1,4.56
2025-07-04,a massive data breach sends a tech company s stock tumbling,Bloomberg,Government Policy Announcement,S&P 500,4.39,258.05,positive,Aerospace & Defense,Low,Tata Motors,https://www.wsj.com/europe/dax-performance,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,3,-3,0.0,0,1,0,0,4.39,False,True,True,2,258.05,5.557021093260797,59,11,1,0,4.39
2025-07-10,consumer discretionary stocks outperform as spending increases,Economic Times,Supply Chain Disruption,Shanghai Composite,2.83,178.11,positive,Retail,Low,Tata Motors,https://www.reuters.com/markets/indices/ftse-100,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,2.83,True,True,True,3,178.11,5.1880001422371675,62,7,1,0,2.83
2025-04-13,media and entertainment companies report a surge in streaming revenue,Forbes,Cryptocurrency Regulation,KOSPI,-4.03,252.5,positive,Retail,Low,JP Morgan Chase,https://www.ft.com/content/consumer-confidence-report,media and entertainment companies report a surge in streaming revenue,1,0,0,0,3,0,3,3.0,1,0,0,0,-4.03,True,False,True,2,252.5,5.535363823031238,69,10,0,1,4.03
2025-03-31,aerospace and defense sector sees rally amid geopolitical tensions,Forbes,Corporate Earnings Report,IBOVESPA,-1.44,208.5,positive,Real Estate,Medium,Reliance Industries,https://www.bloomberg.com/australia/asx-200-performance,aerospace and defense sector sees rally amid geopolitical tensions,1,0,0,0,3,0,3,3.0,1,0,0,0,-1.44,True,False,True,2,208.5,5.344723739362192,66,9,0,1,1.44
2025-02-13,pharmaceutical company s drug approval drives stock upward,Business Standard,Currency Devaluation,Nasdaq Composite,4.96,2.5,positive,Transportation,Medium,Boeing,https://www.ft.com/content/currency-devaluation,pharmaceutical company s drug approval drives stock upward,0,0,2,0,2,0,2,2.0,0,0,0,0,4.96,True,True,False,2,2.5,1.252762968495368,58,8,1,0,4.96
2025-06-22,a massive data breach sends a tech company s stock tumbling,Yahoo Finance,IPO Launch,Nasdaq Composite,1.41,141.37,positive,Materials,Medium,Boeing,https://economictimes.indiatimes.com/news/transportation,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,3,-3,0.0,0,1,0,0,1.41,False,True,True,2,141.37,4.958429302625654,59,11,1,0,1.41
2025-05-28,uk s ftse 100 sees a boost from favorable trade data,Mint,Interest Rate Change,S&P 500,2.3,459.91,positive,Transportation,Medium,Microsoft,https://www.ft.com/content/media-entertainment-merger,uk s ftse 100 sees a boost from favorable trade data,0,0,2,0,2,0,2,2.0,0,0,0,1,2.3,True,True,False,2,459.91,6.133202796171501,52,11,1,0,2.3
2025-07-30,pharmaceutical company s drug approval drives stock upward,Seeking Alpha,Major Merger/Acquisition,NSE Nifty,2.33,159.38,positive,Materials,High,Samsung Electronics,https://timesofindia.indiatimes.com/business/corporate-governance,pharmaceutical company s drug approval drives stock upward,0,0,2,0,2,0,2,2.0,0,0,0,0,2.33,True,True,False,2,159.38,5.0775459993788825,58,8,1,0,2.33
2025-05-16,healthcare stocks gain on robust demand and strong outlook,Forbes,Bond Market Fluctuation,S&P/TSX Composite,-2.16,416.62,positive,Industrials,Medium,Apple Inc.,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,healthcare stocks gain on robust demand and strong outlook,2,0,1,0,7,0,7,7.0,1,0,0,0,-2.16,True,False,True,2,416.62,6.034571928141916,58,9,0,1,2.16
2025-03-12,pharmaceutical company s drug approval drives stock upward,Investopedia,Stock Market Crash,Russell 2000,4.66,415.96,positive,Real Estate,Medium,Tata Motors,,pharmaceutical company s drug approval drives stock upward,0,0,2,0,2,0,2,2.0,0,0,0,0,4.66,True,True,False,2,415.96,6.03299029393648,58,8,1,0,4.66
2025-03-18,financial services stocks rally on strong profit margins,Wall Street Journal,Consumer Confidence Report,CAC 40,3.13,373.73,positive,Retail,Low,Samsung Electronics,https://www.wsj.com/europe/dax-performance,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,3.13,True,True,True,3,373.73,5.926205766645928,56,8,1,0,3.13
2025-08-08,consumer discretionary stocks outperform as spending increases,Barron's,Inflation Data Release,IBOVESPA,4.54,428.4,positive,Energy,Medium,Goldman Sachs,https://www.wsj.com/china/market-regulation,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,4.54,True,True,True,3,428.4,6.062388885444681,62,7,1,0,4.54
2025-02-03,mining company stock surges on commodity price boom,Mint,Central Bank Meeting,S&P/TSX Composite,,204.52,positive,Media & Entertainment,Medium,Samsung Electronics,https://www.marketwatch.com/story/commodities-price-shock,mining company stock surges on commodity price boom,1,0,0,0,3,0,3,3.0,1,0,0,0,,True,True,True,3,204.52,5.3255433528016285,51,8,0,0,
2025-04-23,financial services stocks rally on strong profit margins,The Motley Fool,Trade Tariffs Announcement,ASX 200,,428.77,positive,Automotive,High,Goldman Sachs,https://timesofindia.indiatimes.com/business/corporate-governance,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,,True,True,True,3,428.77,6.0632501818653495,56,8,0,0,
2025-02-19,gold prices surge as investors flee riskier assets,MarketWatch,Commodity Price Shock,Dow Jones,4.22,309.02,positive,Utilities,High,Microsoft,https://www.wsj.com/china/market-rally,gold prices surge as investors flee riskier assets,1,0,0,0,3,0,3,3.0,1,0,0,0,4.22,True,True,True,3,309.02,5.736636811527148,50,8,1,0,4.22
2025-06-15,bond yields tumble as investors seek safe havens,Mint,Geopolitical Event,FTSE 100,4.11,30.24,positive,Industrials,Low,ExxonMobil,https://www.ft.com/content/consumer-confidence-report,bond yields tumble as investors seek safe havens,0,1,0,0,0,3,-3,0.0,0,1,0,0,4.11,False,True,True,2,30.24,3.441699324971485,48,8,1,0,4.11
2025-03-16,gold prices surge as investors flee riskier assets,The Hindu Business Line,Corporate Earnings Report,S&P/TSX Composite,2.7,186.43,positive,Retail,Medium,ExxonMobil,https://www.reuters.com/markets/indices/nikkei-225,gold prices surge as investors flee riskier assets,1,0,0,0,3,0,3,3.0,1,0,0,0,2.7,True,True,True,3,186.43,5.233405442370894,50,8,1,0,2.7
2025-04-29,asx 200 gains on strong export performance,Reuters,Geopolitical Event,Nikkei 225,-0.05,7.02,positive,Consumer Goods,Low,Reliance Industries,https://www.bloomberg.com/canada/tsunami-warnings,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,-0.05,True,False,True,2,7.02,2.081938421878423,42,7,0,1,0.05
2025-04-23,financial services stocks rally on strong profit margins,The Motley Fool,Trade Tariffs Announcement,ASX 200,,428.77,positive,Automotive,High,Goldman Sachs,https://timesofindia.indiatimes.com/business/corporate-governance,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,,True,True,True,3,428.77,6.0632501818653495,56,8,0,0,
2025-08-08,uk s ftse 100 sees a boost from favorable trade data,Financial Times,Central Bank Meeting,S&P/TSX Composite,4.44,448.75,positive,Retail,Medium,Goldman Sachs,https://www.forbes.com/finance/geopolitical-event-impact,uk s ftse 100 sees a boost from favorable trade data,0,0,2,0,2,0,2,2.0,0,0,0,1,4.44,True,True,False,2,448.75,6.108691872830643,52,11,1,0,4.44
2025-04-10,financial services stocks rally on strong profit margins,Bloomberg,Central Bank Meeting,S&P 500,2.45,434.21,positive,Pharmaceuticals,Low,Reliance Industries,https://timesofindia.indiatimes.com/business/agriculture-sector,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,2.45,True,True,True,3,434.21,6.07582867321892,56,8,1,0,2.45
2025-06-24,media and entertainment companies report a surge in streaming revenue,Economic Times,Inflation Data Release,Hang Seng,3.77,8.34,positive,Aerospace & Defense,High,Microsoft,https://www.investopedia.com/articles/supply-chain-disruption,media and entertainment companies report a surge in streaming revenue,1,0,0,0,3,0,3,3.0,1,0,0,0,3.77,True,True,True,3,8.34,2.234306252240751,69,10,1,0,3.77
2025-07-04,asx 200 gains on strong export performance,Times of India,Market Rally,ASX 200,2.95,433.44,positive,Media & Entertainment,Low,Tesla,https://www.ft.com/content/tech-sector-innovation,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,2.95,True,True,True,3,433.44,6.0740578454118355,42,7,1,0,2.95
2025-06-26,asx 200 gains on strong export performance,The Hindu Business Line,Government Policy Announcement,Euro Stoxx 50,-4.13,457.84,positive,Utilities,Medium,Microsoft,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,-4.13,True,False,True,2,457.84,6.128701565413067,42,7,0,1,4.13
2025-07-04,a massive data breach sends a tech company s stock tumbling,Bloomberg,Government Policy Announcement,S&P 500,4.39,258.05,positive,Aerospace & Defense,Low,Tata Motors,https://www.wsj.com/europe/dax-performance,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,3,-3,0.0,0,1,0,0,4.39,False,True,True,2,258.05,5.557021093260797,59,11,1,0,4.39
2025-06-06,media and entertainment companies report a surge in streaming revenue,Mint,Currency Devaluation,FTSE 100,2.48,359.41,positive,Media & Entertainment,Low,Samsung Electronics,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,media and entertainment companies report a surge in streaming revenue,1,0,0,0,3,0,3,3.0,1,0,0,0,2.48,True,True,True,3,359.41,5.88724227229708,69,10,1,0,2.48
2025-03-01,asx 200 gains on strong export performance,Financial Times,Bond Market Fluctuation,CAC 40,2.63,90.87,positive,Telecommunications,Medium,Tata Motors,https://www.business-standard.com/international-business/trade-policy,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,2.63,True,True,True,3,90.87,4.520374534283375,42,7,1,0,2.63
2025-04-14,financial services stocks rally on strong profit margins,Wall Street Journal,Cryptocurrency Regulation,Hang Seng,-0.24,51.45,positive,Retail,High,Apple Inc.,https://www.moneycontrol.com/us-markets/nasdaq-composite,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,-0.24,True,False,True,2,51.45,3.9598603348423063,56,8,0,1,0.24
2025-07-02,asx 200 gains on strong export performance,Seeking Alpha,Inflation Data Release,Russell 2000,-3.81,367.06,positive,Finance,Low,Samsung Electronics,,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,-3.81,True,False,True,2,367.06,5.908245968357049,42,7,0,1,3.81
2025-06-22,a massive data breach sends a tech company s stock tumbling,Yahoo Finance,IPO Launch,Nasdaq Composite,1.41,141.37,positive,Materials,Medium,Boeing,https://economictimes.indiatimes.com/news/transportation,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,3,-3,0.0,0,1,0,0,1.41,False,True,True,2,141.37,4.958429302625654,59,11,1,0,1.41
2025-02-19,gold prices surge as investors flee riskier assets,MarketWatch,Commodity Price Shock,Dow Jones,4.22,309.02,positive,Utilities,High,Microsoft,https://www.wsj.com/china/market-rally,gold prices surge as investors flee riskier assets,1,0,0,0,3,0,3,3.0,1,0,0,0,4.22,True,True,True,3,309.02,5.736636811527148,50,8,1,0,4.22
2025-03-23,banking stocks dip after a major scandal is revealed,Wall Street Journal,IPO Launch,NSE Nifty,4.59,155.71,positive,Aerospace & Defense,Low,Tata Motors,https://www.cnbc.com/2025/12/healthcare-sector-outlook,banking stocks dip after a major scandal is revealed,0,1,0,1,0,4,-4,0.0,0,1,0,0,4.59,False,True,True,2,155.71,5.054396963535125,52,9,1,0,4.59
2025-07-04,a massive data breach sends a tech company s stock tumbling,Bloomberg,Government Policy Announcement,S&P 500,4.39,258.05,positive,Aerospace & Defense,Low,Tata Motors,https://www.wsj.com/europe/dax-performance,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,3,-3,0.0,0,1,0,0,4.39,False,True,True,2,258.05,5.557021093260797,59,11,1,0,4.39
2025-06-14,pharmaceutical company s drug approval drives stock upward,Barron's,Interest Rate Change,IBOVESPA,4.98,457.49,positive,Media & Entertainment,Medium,Tesla,https://www.ft.com/content/tech-sector-innovation,pharmaceutical company s drug approval drives stock upward,0,0,2,0,2,0,2,2.0,0,0,0,0,4.98,True,True,False,2,457.49,6.127938481207854,58,8,1,0,4.98
2025-07-05,consumer discretionary stocks outperform as spending increases,Bloomberg,Cryptocurrency Regulation,KOSPI,4.57,376.31,positive,Utilities,High,Samsung Electronics,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,4.57,True,True,True,3,376.31,5.933067130727174,62,7,1,0,4.57
2025-06-01,mining company stock surges on commodity price boom,CNBC,Central Bank Meeting,NSE Nifty,,71.21,positive,Consumer Goods,High,JP Morgan Chase,https://www.wsj.com/europe/regulatory-changes,mining company stock surges on commodity price boom,1,0,0,0,3,0,3,3.0,1,0,0,0,,True,True,True,3,71.21,4.27957854046309,51,8,0,0,
2025-08-02,a massive data breach sends a tech company s stock tumbling,Forbes,Commodity Price Shock,Nikkei 225,1.02,408.58,positive,Real Estate,Low,Microsoft,https://www.business-standard.com/economy/economic-stimulus,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,3,-3,0.0,0,1,0,0,1.02,False,True,True,2,408.58,6.015132244408166,59,11,1,0,1.02
2025-05-23,healthcare stocks gain on robust demand and strong outlook,Mint,Geopolitical Event,TSX,-3.64,142.03,positive,Media & Entertainment,Low,Microsoft,https://www.forbes.com/finance/geopolitical-event-impact,healthcare stocks gain on robust demand and strong outlook,2,0,1,0,7,0,7,7.0,1,0,0,0,-3.64,True,False,True,2,142.03,4.9630543984668085,58,9,0,1,3.64
2025-07-20,gold prices surge as investors flee riskier assets,Seeking Alpha,Government Policy Announcement,KOSPI,-2.65,403.63,positive,Telecommunications,Medium,ExxonMobil,https://www.forbes.com/finance/geopolitical-event-impact,gold prices surge as investors flee riskier assets,1,0,0,0,3,0,3,3.0,1,0,0,0,-2.65,True,False,True,2,403.63,6.00297306929085,50,8,0,1,2.65
2025-04-05,consumer discretionary stocks outperform as spending increases,Barron's,Economic Data Release,S&P/TSX Composite,-3.09,429.99,positive,Materials,Low,Tata Motors,https://www.marketwatch.com/story/consumer-goods-report,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,-3.09,True,False,True,2,429.99,6.066084887978432,62,7,0,1,3.09
2025-03-16,financial services stocks rally on strong profit margins,Economic Times,Bond Market Fluctuation,ASX 200,-1.11,262.76,positive,Utilities,Medium,Boeing,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,-1.11,True,False,True,2,262.76,5.5750395987634755,56,8,0,1,1.11
2025-07-05,consumer discretionary stocks outperform as spending increases,Bloomberg,Cryptocurrency Regulation,KOSPI,4.57,376.31,positive,Utilities,High,Samsung Electronics,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,4.57,True,True,True,3,376.31,5.933067130727174,62,7,1,0,4.57
2025-05-28,uk s ftse 100 sees a boost from favorable trade data,Mint,Interest Rate Change,S&P 500,2.3,459.91,positive,Transportation,Medium,Microsoft,https://www.ft.com/content/media-entertainment-merger,uk s ftse 100 sees a boost from favorable trade data,0,0,2,0,2,0,2,2.0,0,0,0,1,2.3,True,True,False,2,459.91,6.133202796171501,52,11,1,0,2.3
2025-05-10,healthcare stocks gain on robust demand and strong outlook,Forbes,Cryptocurrency Regulation,Euro Stoxx 50,2.36,404.0,positive,Energy,High,Reliance Industries,https://www.ft.com/content/media-entertainment-merger,healthcare stocks gain on robust demand and strong outlook,2,0,1,0,7,0,7,7.0,1,0,0,0,2.36,True,True,True,3,404.0,6.003887067106539,58,9,1,0,2.36
2025-03-09,media and entertainment companies report a surge in streaming revenue,The Motley Fool,Corporate Earnings Report,CAC 40,0.03,4.24,positive,Automotive,Low,ExxonMobil,https://www.moneycontrol.com/us-markets/dow-jones-industrial,media and entertainment companies report a surge in streaming revenue,1,0,0,0,3,0,3,3.0,1,0,0,0,0.03,True,False,True,2,4.24,1.6563214983329508,69,10,1,0,0.03
2025-04-11,asx 200 gains on strong export performance,Wall Street Journal,Inflation Data Release,S&P/TSX Composite,,49.83,positive,Telecommunications,Low,Reliance Industries,https://www.moneycontrol.com/us-markets/dow-jones-industrial,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,,True,True,True,3,49.83,3.928486731458811,42,7,0,0,
2025-04-13,media and entertainment companies report a surge in streaming revenue,Forbes,Cryptocurrency Regulation,KOSPI,-4.03,252.5,positive,Retail,Low,JP Morgan Chase,https://www.ft.com/content/consumer-confidence-report,media and entertainment companies report a surge in streaming revenue,1,0,0,0,3,0,3,3.0,1,0,0,0,-4.03,True,False,True,2,252.5,5.535363823031238,69,10,0,1,4.03
2025-08-08,uk s ftse 100 sees a boost from favorable trade data,Financial Times,Central Bank Meeting,S&P/TSX Composite,4.44,448.75,positive,Retail,Medium,Goldman Sachs,https://www.forbes.com/finance/geopolitical-event-impact,uk s ftse 100 sees a boost from favorable trade data,0,0,2,0,2,0,2,2.0,0,0,0,1,4.44,True,True,False,2,448.75,6.108691872830643,52,11,1,0,4.44
2025-07-09,aerospace and defense sector sees rally amid geopolitical tensions,The Motley Fool,Commodity Price Shock,Euro Stoxx 50,-0.44,379.18,positive,Automotive,Medium,Tata Motors,https://www.cnbc.com/2025/11/major-merger-deal-approved,aerospace and defense sector sees rally amid geopolitical tensions,1,0,0,0,3,0,3,3.0,1,0,0,0,-0.44,True,False,True,2,379.18,5.9406448247780075,66,9,0,1,0.44
2025-06-25,healthcare stocks gain on robust demand and strong outlook,Wall Street Journal,Regulatory Changes,DAX,-2.95,382.12,positive,Real Estate,Low,Apple Inc.,https://www.investopedia.com/articles/supply-chain-disruption,healthcare stocks gain on robust demand and strong outlook,2,0,1,0,7,0,7,7.0,1,0,0,0,-2.95,True,False,True,2,382.12,5.948348256034354,58,9,0,1,2.95
2025-05-25,financial services stocks rally on strong profit margins,CNBC,Commodity Price Shock,DAX,1.02,74.49,positive,Materials,High,JP Morgan Chase,https://www.business-standard.com/economy/inflation-data,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,1.02,True,True,True,3,74.49,4.324000197151533,56,8,1,0,1.02
